Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
2756,178022,10683/14558,Unknown,Beaters,Beaters,1970,1980,1,Unknown,Unknown,2,10
2757,178023,10683/14558,Sleigh bell,Bells,Percussion,1970,1980,1,Unknown,Unknown,2,10
2758,178024,10683/14558,Unknown,Beaters,Beaters,1970,1980,1,England,Unknown,0,10
2759,178025,10683/14558,Unknown,Beaters,Beaters,1970,1980,1,England,Unknown,0,10
2760,178026,10683/14558,Chime bar,Metallophones/Steeldrums,Percussion,1970,1980,1,Unknown,Unknown,2,10
2761,178027,10683/14558,Chime bar,Metallophones/Steeldrums,Percussion,1970,1980,1,Unknown,Unknown,2,10
2762,178028,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2763,178029,10683/14558,Flageolet,Flutes,Wind,1808,1820,1,England,London,0,12
2764,178030,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2765,178037,10683/14558,Triangle,Unknown,Other,1970,1980,1,Unknown,Unknown,2,10
2766,178038,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2767,178039,10683/14558,Transverse flute,Flutes,Wind,1818,1831,1,England,London,0,13
2768,178040,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2769,178042,10683/14558,Transverse flute,Flutes,Wind,1827,1829,1,England,London,0,2
2770,178043,10683/14558,Transverse flute,Flutes,Wind,1818,1831,1,England,London,0,13
2771,178044,10683/14558,Transverse flute,Flutes,Wind,1832,1850,1,England,London,0,18
2772,178046,10683/14558,Transverse flute,Flutes,Wind,1824,1837,1,England,London,0,13
2773,178047,10683/14558,Transverse flute,Flutes,Wind,1824,1837,1,England,London,0,13
2774,178048,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,Unknown,Unknown,1,0
2775,178049,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
2776,178050,10683/14558,Transverse flute,Flutes,Wind,1842,1847,1,England,London,0,5
2777,178051,10683/14558,Transverse flute,Flutes,Wind,1866,1900,1,England,London,0,34
2778,178052,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2779,178054,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2780,178055,10683/14558,Baritone saxhorn,Saxhorns,Wind,1930,1930,0,England,London,0,0
2781,178056,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2782,178057,10683/14558,Cornet,Cornets,Wind,1865,1875,1,France,Paris,0,10
2783,178058,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,France,Paris,0,0
2784,178059,10683/14558,Cornet,Cornets,Wind,1899,1900,1,England,London,0,1
2785,178060,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2786,178070,10683/14558,Euphonium,Tubas,Wind,0,0,2,England,London,0,0
2787,178071,10683/14558,Cornophone,Saxhorns,Wind,0,0,2,France,Paris,0,0
2788,178072,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2789,178073,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2790,178074,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2791,178075,10683/14558,Valve trumpet,Trumpets,Wind,1830,1840,1,England,Birmingham,0,10
2792,178077,10683/14558,Antoniophone,Saxhorns,Wind,1889,1889,0,England,London,0,0
2793,178079,10683/14558,Antoniophone,Saxhorns,Wind,1888,1888,0,England,London,0,0
2794,178081,10683/14558,Antoniophone,Saxhorns,Wind,1888,1888,0,England,London,0,0
2795,178082,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2796,178083,10683/14558,Transverse flute,Flutes,Wind,1766,1800,1,England,London,0,34
2797,178084,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Unknown,Unknown,2,0
2798,178092,10683/14558,Transverse flute,Flutes,Wind,0,0,2,France,Paris,0,0
2799,178093,10683/14558,Transverse flute,Flutes,Wind,0,0,2,France,Paris,0,0
2800,178094,10683/14558,Transverse flute,Flutes,Wind,1853,1858,1,England,London,0,5
2801,178095,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
2802,178099,10683/14558,Clarinet,Clarinets,Wind,1870,1880,1,France,Paris,0,10
2803,178101,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
2804,178102,10683/14558,Bass trombone,Trombones,Wind,1962,1962,0,England,London,0,0
2805,178103,10683/14558,Bass trombone,Trombones,Wind,1835,1844,1,Austria,Vienna,0,9
2806,178105,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1957,1967,1,England,London,0,10
2807,178113,10683/14558,Clarinet,Clarinets,Wind,0,0,2,Austria,Vienna,0,0
2808,178114,10683/14558,Clarinet,Clarinets,Wind,1930,1940,1,France,Paris,0,10
2809,178116,10683/14558,Clarinet,Clarinets,Wind,0,0,2,England,London,0,0
2810,178121,10683/14558,Oboe,Oboes,Wind,1825,1835,1,France,Paris,0,10
2811,178122,10683/14558,Tuba,Tubas,Wind,0,0,2,England,London,0,0
2812,178124,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2813,178125,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
2814,178126,10683/14558,Alto saxhorn,Saxhorns,Wind,1855,1855,0,France,Paris,0,0
