Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty
4698,181425,10683/14558,Bowed zither,Fiddles,Strings,0,0,2,Unknown,Unknown,1
4699,181427,10683/14558,Banjo,Guitars,Strings,0,0,2,England,London,0
4700,181429,10683/14558,Flageolet,Flutes,Wind,0,0,2,Unknown,Unknown,1
4701,181447,10683/14558,Xylophone,Xylophones,Percussion,0,0,2,Unknown,Unknown,0
4702,181448,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1901,0,1,France,Paris,0
4703,181449,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4704,181450,10683/14558,Shakuhachi,Flutes,Wind,0,0,2,Unknown,Unknown,1
4705,181451,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1960,2000,1,England,Unknown,0
4706,181452,10683/14558,Shakuhachi,Flutes,Wind,0,0,2,Unknown,Unknown,1
4707,181453,10683/14558,Cornet,Cornets,Wind,0,0,2,England,London,0
4708,181454,10683/14558,Ocarina,Flutes,Wind,0,0,2,Unknown,Unknown,2
4709,181455,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,United States of America,Unknown,0
4710,181456,10683/14558,Flugelhorn,Flugelhorns,Wind,0,0,2,England,London,0
4711,181457,10683/14558,Practice chanter,Oboes,Wind,1901,0,1,Scotland,Glasgow,0
4712,181458,10683/14558,Ocarina,Flutes,Wind,0,0,2,Unknown,Unknown,2
4713,181459,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4714,181461,10683/14558,Keyed bugle,Bugles,Wind,1830,0,1,England,London,0
4715,181462,10683/14558,Transverse flute,Flutes,Wind,0,2003,1,Austria,Vienna,0
4716,181463,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1
4717,181464,10683/14558,Cornopean,Cornets,Wind,0,2000,1,England,London,0
4718,181466,10683/14558,Oboe,Oboes,Wind,1875,0,1,Unknown,Unknown,1
4719,181467,10683/14558,Oboe,Oboes,Wind,1875,0,1,Unknown,Unknown,1
4720,181468,10683/14558,Oboe,Oboes,Wind,1875,0,1,Unknown,Unknown,1
4721,181470,10683/14558,Whistle,Flutes,Wind,0,0,2,Unknown,Unknown,2
4722,181477,10683/14558,Bass drum,Drums,Percussion,1925,0,1,Unknown,Unknown,1
4723,181478,10683/14558,Whistle,Flutes,Wind,0,2000,1,Unknown,Unknown,2
4724,181479,10683/14558,Dessus de musette,Oboes,Wind,1870,0,1,Unknown,Unknown,1
4725,181480,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Belgium,Brussels,0
4726,181481,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,Belgium,Brussels,0
4727,181482,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0
4728,181483,10683/14558,Transverse flute,Flutes,Wind,0,2000,1,England,London,0
4729,181484,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0
4730,181485,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Belgium,Brussels,0
4731,181486,10683/14558,Treble recorder,Flutes,Wind,0,0,2,Germany,Unknown,0
4732,181488,10683/14558,Transverse flute,Flutes,Wind,1766,2002,1,England,London,0
4733,181491,10683/14558,Barrel drum,Drums,Percussion,1934,0,1,China,Unknown,0
4734,181492,10683/14558,Rain machine,Unknown,Other,1915,0,1,Unknown,Unknown,2
4735,181493,10683/14558,Tubular bell,Bells,Percussion,0,0,2,Unknown,Unknown,2
4736,181494,10683/14558,Tubular bell,Bells,Percussion,0,0,2,England,London,0
4737,181496,10683/14558,Tubular bell,Bells,Percussion,0,0,2,Unknown,Unknown,2
4738,181497,10683/14558,Serpent,Serpents,Wind,1820,2000,1,England,London,0
4739,181498,10683/14558,Clarinet,Clarinets,Wind,1789,0,1,England,London,0
4740,181499,10683/14558,Helicon,Tubas,Wind,1876,0,1,England,London,0
4741,181500,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1980,0,1,England,Farnham,0
4742,181501,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1885,0,1,France,Paris,0
4743,181502,10683/14558,Ophicleide,Ophicleides,Wind,1835,0,1,England,Birmingham,0
4744,181504,10683/14558,Cornet,Cornets,Wind,0,0,2,England,Unknown,0
